年月日,收盤價(元)
2007/12/26,25.15
2007/12/27,25.43
2007/12/28,25.6
2007/12/31,26.04
2008/1/2,25.75
2008/1/3,25.4
2008/1/4,25.45
2008/1/7,25.05
2008/1/8,25.36
2008/1/9,25.56
2008/1/10,25.75
2008/1/11,25.8
2008/1/14,25.9
2008/1/15,26.22
2008/1/16,25.75
2008/1/17,25.04
2008/1/18,25.05
2008/1/21,24.89
2008/1/22,23.5
2008/1/23,23.01
2008/1/24,23.41
2008/1/25,23.8
2008/1/28,22.9
2008/1/29,22.73
2008/1/30,22.74
2008/1/31,22.73
2008/2/1,23.05
2008/2/12,22.92
2008/2/13,22.8
2008/2/14,23.5
2008/2/15,23.5
2008/2/18,23.66
2008/2/19,23.93
2008/2/20,23.67
2008/2/21,23.79
2008/2/22,23.8
2008/2/25,24.25
2008/2/26,24.5
2008/2/27,24.55
2008/2/29,24.75
2008/3/3,24.64
2008/3/4,24.96
2008/3/5,25.0
2008/3/6,25.5
2008/3/7,25.3
2008/3/10,24.97
2008/3/11,24.95
2008/3/12,25.11
2008/3/13,24.88
2008/3/14,24.63
2008/3/17,24.2
2008/3/18,24.25
2008/3/19,24.3
2008/3/20,24.6
2008/3/21,24.99
2008/3/24,25.79
2008/3/25,25.71
2008/3/26,25.7
2008/3/27,25.26
2008/3/28,25.73
2008/3/31,25.5
2008/4/1,25.45
2008/4/2,25.56
2008/4/3,25.5
2008/4/7,25.63
2008/4/8,25.6
2008/4/9,25.55
2008/4/10,25.75
2008/4/11,25.98
2008/4/14,26.16
2008/4/15,26.25
2008/4/16,26.74
2008/4/17,26.82
2008/4/18,26.65
2008/4/21,26.6
2008/4/22,26.7
2008/4/23,26.6
2008/4/24,26.6
2008/4/25,26.65
2008/4/28,26.75
2008/4/29,26.5
2008/4/30,26.3
2008/5/2,26.63
2008/5/5,26.32
2008/5/6,26.25
2008/5/7,26.28
2008/5/8,26.25
2008/5/9,26.15
2008/5/12,26.05
2008/5/13,26.6
2008/5/14,26.65
2008/5/15,26.97
2008/5/16,27.08
2008/5/19,27.5
2008/5/20,27.09
2008/5/21,26.9
2008/5/22,26.87
2008/5/23,26.39
2008/5/26,26.12
2008/5/27,26.14
2008/5/28,26.12
2008/5/29,25.96
2008/5/30,25.73
2008/6/2,25.62
2008/6/3,25.33
2008/6/4,25.41
2008/6/5,25.75
2008/6/6,25.9
2008/6/9,25.7
2008/6/10,25.05
2008/6/11,24.94
2008/6/12,23.91
2008/6/13,23.82
2008/6/16,24.14
2008/6/17,24.19
2008/6/18,24.2
2008/6/19,23.89
2008/6/20,23.47
2008/6/23,23.23
2008/6/24,23.0
2008/6/25,23.25
2008/6/26,23.08
2008/6/27,23.0
2008/6/30,22.9
2008/7/1,22.48
2008/7/2,22.53
2008/7/3,22.6
2008/7/4,22.1
2008/7/7,22.4
2008/7/8,21.41
2008/7/9,21.41
2008/7/10,21.62
2008/7/11,22.05
2008/7/14,21.94
2008/7/15,21.26
2008/7/16,21.0
2008/7/17,21.32
2008/7/18,20.68
2008/7/21,21.38
2008/7/22,21.3
2008/7/23,22.1
2008/7/24,22.19
2008/7/25,21.98
2008/7/29,21.5
2008/7/30,21.7
2008/7/31,21.47
2008/8/1,21.33
2008/8/4,21.19
2008/8/5,20.82
2008/8/6,21.17
2008/8/7,21.1
2008/8/8,21.45
2008/8/11,21.81
2008/8/12,21.81
2008/8/13,21.92
2008/8/14,22.31
2008/8/15,21.95
2008/8/18,21.6
2008/8/19,21.53
2008/8/20,21.6
2008/8/21,21.31
2008/8/22,21.3
2008/8/25,21.5
2008/8/26,21.4
2008/8/27,21.74
2008/8/28,21.8
2008/8/29,21.9
2008/9/1,21.43
2008/9/2,21.35
2008/9/3,20.74
2008/9/4,20.1
2008/9/5,19.6
2008/9/8,20.9
2008/9/9,19.9
2008/9/10,20.03
2008/9/11,19.26
2008/9/12,19.31
2008/9/15,18.4
2008/9/16,17.25
2008/9/17,17.48
2008/9/18,16.8
2008/9/19,17.97
2008/9/22,18.48
2008/9/23,18.54
2008/9/24,18.54
2008/9/25,18.32
2008/9/26,17.81
2008/9/30,17.0
2008/10/1,17.35
2008/10/2,17.26
2008/10/3,17.42
2008/10/6,16.71
2008/10/7,16.93
2008/10/8,16.05
2008/10/9,15.6
2008/10/13,15.2
2008/10/14,16.26
2008/10/15,15.76
2008/10/16,15.21
2008/10/17,14.8
2008/10/20,14.66
2008/10/21,14.74
2008/10/22,14.26
2008/10/23,13.78
2008/10/24,13.3
2008/10/27,12.55
2008/10/28,13.39
2008/10/29,13.39
2008/10/30,14.32
2008/10/31,14.65
2008/11/3,15.06
2008/11/4,15.2
2008/11/5,15.15
2008/11/6,14.1
2008/11/7,14.5
2008/11/10,14.49
2008/11/11,14.4
2008/11/12,14.1
2008/11/13,13.42
2008/11/14,14.04
2008/11/17,13.85
2008/11/18,13.4
2008/11/19,13.41
2008/11/20,12.85
2008/11/21,12.98
2008/11/24,12.65
2008/11/25,12.95
2008/11/26,13.0
2008/11/27,13.52
2008/11/28,13.45
2008/12/1,13.7
2008/12/2,13.14
2008/12/3,13.1
2008/12/4,12.89
2008/12/5,12.8
2008/12/8,13.5
2008/12/9,13.51
2008/12/10,14.05
2008/12/11,14.05
2008/12/12,13.38
2008/12/15,13.9
2008/12/16,13.8
2008/12/17,13.9
2008/12/18,14.0
2008/12/19,14.14
2008/12/22,13.6
2008/12/23,13.15
2008/12/24,13.2
2008/12/25,13.18
2008/12/26,13.28
2008/12/29,13.19
2008/12/30,13.66
2008/12/31,13.49
2009/1/5,13.92
2009/1/6,14.04
2009/1/7,14.28
2009/1/8,13.61
2009/1/9,13.6
2009/1/10,13.7
2009/1/12,13.7
2009/1/13,13.8
2009/1/14,13.7
2009/1/15,13.2
2009/1/16,13.21
2009/1/17,13.45
2009/1/19,13.3
2009/1/20,13.19
2009/1/21,13.13
2009/2/2,13.19
2009/2/3,13.38
2009/2/4,13.5
2009/2/5,13.64
2009/2/6,13.8
2009/2/9,13.94
2009/2/10,14.05
2009/2/11,14.2
2009/2/12,13.8
2009/2/13,14.19
2009/2/16,14.1
2009/2/17,13.92
2009/2/18,13.9
2009/2/19,14.08
2009/2/20,13.8
2009/2/23,13.86
2009/2/24,13.8
2009/2/25,13.9
2009/2/26,13.98
2009/2/27,14.12
2009/3/2,13.82
2009/3/3,14.02
2009/3/4,14.26
2009/3/5,14.65
2009/3/6,14.7
2009/3/9,14.8
2009/3/10,15.02
2009/3/11,15.14
2009/3/12,15.14
2009/3/13,15.55
2009/3/16,15.7
2009/3/17,15.83
2009/3/18,15.79
2009/3/19,15.65
2009/3/20,15.6
2009/3/23,16.1
2009/3/24,16.35
2009/3/25,16.7
2009/3/26,16.7
2009/3/27,16.51
2009/3/30,16.0
2009/3/31,16.01
2009/4/1,16.45
2009/4/2,16.76
2009/4/3,16.95
2009/4/6,17.1
2009/4/7,17.29
2009/4/8,17.01
2009/4/9,17.6
2009/4/10,17.92
2009/4/13,18.1
2009/4/14,18.16
2009/4/15,18.13
2009/4/16,18.46
2009/4/17,17.49
2009/4/20,17.51
2009/4/21,18.0
2009/4/22,18.21
2009/4/23,18.16
2009/4/24,18.12
2009/4/27,17.67
2009/4/28,17.1
2009/4/29,17.13
2009/4/30,18.32
2009/5/4,19.6
2009/5/5,19.1
2009/5/6,19.55
2009/5/7,19.99
2009/5/8,19.95
2009/5/11,20.22
2009/5/12,19.36
2009/5/13,19.6
2009/5/14,19.31
2009/5/15,19.6
2009/5/18,19.82
2009/5/19,19.88
2009/5/20,19.98
2009/5/21,19.99
2009/5/22,19.96
2009/5/25,20.06
2009/5/26,19.87
2009/5/27,20.41
2009/6/1,20.55
2009/6/2,20.65
2009/6/3,20.52
2009/6/4,20.38
2009/6/5,20.39
2009/6/6,20.4
2009/6/8,19.9
2009/6/9,19.15
2009/6/10,19.26
2009/6/11,19.52
2009/6/12,19.45
2009/6/15,18.61
2009/6/16,18.7
2009/6/17,18.67
2009/6/18,18.49
2009/6/19,18.77
2009/6/22,18.96
2009/6/23,18.7
2009/6/24,19.05
2009/6/25,19.33
2009/6/26,19.45
2009/6/29,19.32
2009/6/30,19.26
2009/7/1,19.62
2009/7/2,19.9
2009/7/3,20.1
2009/7/6,20.11
2009/7/7,20.26
2009/7/8,20.25
2009/7/9,20.42
2009/7/10,20.5
2009/7/13,19.86
2009/7/14,20.2
2009/7/15,20.8
2009/7/16,20.9
2009/7/17,21.04
2009/7/20,21.34
2009/7/21,21.49
2009/7/22,21.56
2009/7/23,21.53
2009/7/24,21.6
2009/7/27,21.75
2009/7/28,22.15
2009/7/29,22.05
2009/7/30,22.0
2009/7/31,22.0
2009/8/3,22.14
2009/8/4,21.8
2009/8/5,21.55
2009/8/6,21.5
2009/8/10,21.62
2009/8/11,21.72
